instance_number,instance,number_of_machines,number_of_orders,number_of_workers,alpha,lower_bound,Tc,Tcry,q,IT,gha_gap,gha_obj,sa_Gap,sa_obj,sa_Time
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.9,100,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,0.946
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,50,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,0.967
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,50,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,0.969
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,50,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.302
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,50,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.778
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,50,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.001
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,100,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.87
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,100,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.888
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,100,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.87
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,100,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.923
1639050697.1033423,1639050697.1033423-Work5,2,50,5,0,735.287719444484,500,20,0.95,100,7.4014945600658795,789.7099999999999,7.401,789.7099999999999,1.999
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,50,0.972992694775031,673.88,0.973,673.88,1.44
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,50,0.972992694775031,673.88,0.973,673.88,1.221
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.741
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.76
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.736
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.468
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.503
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.529
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.496
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.5
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,50,0.972992694775031,673.88,0.973,673.88,2.829
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,50,0.972992694775031,673.88,0.973,673.88,1.504
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,50,0.972992694775031,673.88,0.973,673.88,1.555
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,50,0.972992694775031,673.88,0.973,673.88,1.566
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,50,0.972992694775031,673.88,0.973,673.88,1.578
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.155
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,100,0.972992694775031,673.88,0.973,673.88,5.764
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.074
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.082
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.073
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.337
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.544
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.639
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.629
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.628
